web_scraper_order,web_scraper_start_url,price,description,sku,name,data,brand,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image
"1778257121-15","https://www.infinit.com.uy/catalogo/conectividad/infinit/","27","1 Año de Garantía","PRV-SWI76","Switch HIKVISION DS-3E0508D-O 8 Puertos Gigabit Carcasa Plástica","","HIKVISION","",",90","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37828.jpg"
"1778257121-16","https://www.infinit.com.uy/catalogo/conectividad/infinit/","29","1 AÑO DE GARANTIA / NUEVO","TSG1008D","Switch Tplink Tl-Sg1008d 8 Puertos Lan Gigabit","","TP-LINK","",",00","29","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_8930.jpg"
"1778257121-17","https://www.infinit.com.uy/catalogo/conectividad/infinit/","32","1 Año de Garantía","PRV-SWI100","Switch TENDA S16 16 Puertos 10/100 Carcasa Plástica","","TENDA","",",74","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37799.jpg"
"1778257121-18","https://www.infinit.com.uy/catalogo/conectividad/infinit/","37","Garantía: 1 AÑO / NUEVO","MR60X","Router WiFi MERCUSYS MR60X AX1500 Wifi 6 1201mbps y 300mbps Dual Band 2.4 y 5Ghz Gigabit 4 Antenas","-23%","MERCUSYS","23",",00","48","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_35866.jpg"
"1778257121-19","https://www.infinit.com.uy/catalogo/conectividad/infinit/","40","Garantía: 1 AÑO / NUEVO","SF1005LP","Switch Tplink Tl-Sf1005lp 5 Puertos Lan 4 Puertos POE Con Alimentacion HAsta 41w","","TP-LINK","",",00","0","USD","Cód.","Comprar","","NEGRO","Destacado","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_25674.jpg"
"1778257121-20","https://www.infinit.com.uy/catalogo/conectividad/infinit/","41","Garantía: 1 AÑO / NUEVO","HALOS32","Access Point Mesh Wifi System Mercusys Halo S3 300MBPS Pack 2 Unidades","","MERCUSYS","",",00","35","USD","Cód.","","Consultar","BLANCO","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_14463.jpg"
"1778257121-21","https://www.infinit.com.uy/catalogo/conectividad/infinit/","44","Garantía: 2 AÑOS / NUEVO","TX50UH","Adaptador Usb TPLINK Tx50uh Wifi 6 Dual Band Ac3000 2.4 y 5Ghz 2 Alta Ganancia","-4%","TP-LINK","4",",00","46","USD","Cód.","Comprar","","GRIS","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_36219.jpg"
"1778257121-22","https://www.infinit.com.uy/catalogo/conectividad/infinit/","48","Garantía: 1 AÑO / NUEVO","TSF1008P","Switch TpLink Tlsf1008p 8 Puertos 4 Puertos Poe","-4%","TP-LINK","4",",00","50","USD","Cód.","Comprar","","NEGRO","Destacado","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_8532.jpg"
"1778257121-23","https://www.infinit.com.uy/catalogo/conectividad/infinit/","56","Garantía: 1 AÑO / NUEVO","HALOS33","Access Point Mesh Wifi System Mercusys Halo S3 300Mbps Pack 3 Unidades","","MERCUSYS","",",00","50","USD","Cód.","","Consultar","BLANCO","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_14467.jpg"
"1778257121-24","https://www.infinit.com.uy/catalogo/conectividad/infinit/","59","Garantía: 2 AÑOS / NUEVO","WR1502X","Router WiFi TPLINK TL-wr1502x Ax1500 Wifi 6 1200mbps Dual Band 2.4 y 5Ghz 4K","","TP-LINK","",",00","0","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_39668.jpg"
