web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-91","https://www.infinit.com.uy/catalogo/pc/infinit/","781","Garantía: 3 AÑOS / NUEVO","NG036","PC Gamer AMD Ryzen 7 5700G RAM 8Gb Ddr4 Ssd Nvme 256Gb Monitor 22"" 100Hz Wifi Bt Teclado Mouse Auricular MousePad W11","-2%","","AMD","2","800","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_19809.jpg"
"1778256957-92","https://www.infinit.com.uy/catalogo/pc/infinit/","785","Garantía: 1 AÑO / NUEVO","82XQ00R8LM","Notebook LENOVO Ideapad SLIM 3 15AMN8 Amd Ryzen 3 7320u (4 Nucleos) - 8Gb - 256Gb - Pantalla 15,6 Fhd - W11 Pro","","GRIS","LENOVO","","0","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40873.jpg"
"1778256957-93","https://www.infinit.com.uy/catalogo/pc/infinit/","785","Garantía: 1 AÑO / NUEVO","NOT3241","Notebook ACER ASPIRE 3 A25 Intel Core i5 1334u - 16Gb - 512Gb - Pantalla 15.6 Full HD -  FDOS","","PLATA","ACER","","0","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40998.jpg"
"1778256957-94","https://www.infinit.com.uy/catalogo/pc/infinit/","788","Garantía: 3 AÑOS / NUEVO","8OF","Equipo PC INTEL Core i5 10400 10ma - 16Gb - Ssd 512Gb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","","","INTEL","","784","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_27625.jpg"
"1778256957-95","https://www.infinit.com.uy/catalogo/pc/infinit/","815","Garantía: 3 AÑOS / NUEVO","NG02-MON2","Pc Gamer AMD Athlon 3000G RAM 16Gb Ssd 512Gb Video Vega 3 Monitor Gamer 22"" 100hz Wifi Bt Teclado Mouse Auriculares W10","","","AMD","","807","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35561.jpg"
"1778256957-96","https://www.infinit.com.uy/catalogo/pc/infinit/","818","Garantía: 3 AÑOS / NUEVO","NG07","PC Gamer AMD Ryzen 3 3200G RAM 16Gb Ddr4 Ssd Nvme 1Tb Video Amd Vega 8 2Gb Wifi Bt Hdmi Incluye Juegos","","","AMD","","814","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_24068.jpg"
"1778256957-97","https://www.infinit.com.uy/catalogo/pc/infinit/","822","Garantía: 3 AÑOS / NUEVO","NG05","PC Gamer AMD Ryzen 3 3200G RAM 16Gb Ddr4 Ssd Nvme 512Gb Monitor 24"" 100Hz  Wifi Bt Teclado Mouse Auricular MousePad W10","","","AMD","","787","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35594.jpg"
"1778256957-98","https://www.infinit.com.uy/catalogo/pc/infinit/","832","Nuevo. Modelo Unitech 27","PRV-EQU2012","Equipo All in One Chuwi Ryzen 5 6600H 16GB 512GB SSD 27"" QHD 180Hz","","","CHUWI","","0","USD","Cód.","","",",80","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41105.jpg"
"1778256957-99","https://www.infinit.com.uy/catalogo/pc/infinit/","836","Garantía: 1 AÑO / NUEVO","KITNOT3153","Notebook ASUS Vivobook X1504VA Intel Core 5 120u (10 Núcleos) - 16Gb - 512Gb - Pantalla 15.6 Full HD - Win11","-7%","AZUL OSCURO","ASUS","7","895","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39941.jpg"
"1778256957-100","https://www.infinit.com.uy/catalogo/pc/infinit/","843","Garantía: 1 AÑO / NUEVO","KIT0805DA0AL001","Notebook ACER Aspire Al14-52P Intel Core 5 120U (10 Core) - 16Gb - Ssd 512Gb - Pantalla 14 Wuxga - Fdos","","GRIS","ACER","","833","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40090.jpg"
