web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778255771-175","https://www.infinit.com.uy/catalogo/gamer/infinit/","269","Garantía: 1 AÑO / NUEVO","192270","Teclado Gamer LOGITECH Pro X Tkl Inalambrico Mecanico Switch LightSpeed","","ROSA","","LOGITECH G","270",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_37351.jpg"
"1778255771-176","https://www.infinit.com.uy/catalogo/gamer/infinit/","270","Garantía: 1 AÑO / NUEVO","ECDEIMUSRGB","Escritorio Gamer COUGAR DEIMUS 120 Rgb Usb3.0 y Tipo C Facil Organizacion De Cables","-2%","NEGRO","2","COUGAR","276",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_25255.jpg"
"1778255771-177","https://www.infinit.com.uy/catalogo/gamer/infinit/","270","Garantía: 1 AÑO / NUEVO","SGCELITEWHI","Silla Gamer COUGAR Armor Elite Blanco Hasta 120Kg Regulable Ergonomica Reclinable 160Grados Almohadones","","BLANCO","","COUGAR","267",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_27556.jpg"
"1778255771-178","https://www.infinit.com.uy/catalogo/gamer/infinit/","270","Garantía: 1 AÑO / NUEVO","SGCELITEOR","Silla Gamer Cougar Armor Elite Soporta Hasta 120kg Regulable Ergonomica Reclinable 160 Grados Almohadones","-3%","NARANJA","3","COUGAR","277",",00","USD","Cód.","","","Color","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_29031.jpg"
"1778255771-179","https://www.infinit.com.uy/catalogo/gamer/infinit/","270","Garantía: 2 AÑOS / NUEVO","BFXHD6X","Capturadora Video Externa ELGATO Hd60 X 10GBE9901 Hdmi Usb-c Streaming","-2%","NEGRO","2","ELGATO","275",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_32531.jpg"
"1778255771-180","https://www.infinit.com.uy/catalogo/gamer/infinit/","277","Garantía: 1 AÑO / RECERTIFICADO","47180117400541","Monitor Gamer ASUS 27 TUF VG278QG 144Hz 1ms Led Panel Full Hd Hdmi Dp","","NEGRO","","ASUS","0",",00","USD","Cód.","27""","","Medida","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39105.jpg"
"1778255771-181","https://www.infinit.com.uy/catalogo/gamer/infinit/","282","Garantía: 3 AÑOS / NUEVO","GB0410","Monitor Gamer GIGABYTE 27 GS27QA 180Hz 1Ms QHd 1440p Panel Ips Amd FreeSync 2x Hdmi Dp Compatible Vesa 100x100","","","","GIGABYTE","283",",00","USD","Cód.","27""","","Medida","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35473.jpg"
"1778255771-182","https://www.infinit.com.uy/catalogo/gamer/infinit/","300","Garantía: 2 AÑOS / NUEVO","BFXD1011","Stream Deck y Mezclador de Audio ELGATO 10GBD9911 Usb Blanco Streaming","-2%","BLANCO","2","ELGATO","305",",00","USD","Cód.","","","Color","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_32579.jpg"
"1778255771-183","https://www.infinit.com.uy/catalogo/gamer/infinit/","302","Garantía: 2 AÑOS / NUEVO","BFXSTDD","Stream Deck + Controlador de Estudio ELGATO Usb Negro Streaming","","NEGRO","","ELGATO","303",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_32583.jpg"
"1778255771-184","https://www.infinit.com.uy/catalogo/gamer/infinit/","314","Garantía: 2 AÑOS / NUEVO","195882","Teclado Mecanico LOGITECH G915 Inalambrico Rgb Tkl Idioma Ingles","","NEGRO","","LOGITECH G","0",",00","USD","Cód.","","Consultar","Color","","","","Antes","USD",",00","Precio","IVA inc.","Agotado","Agotado","","","","https://www.infinit.com.uy/imgs/productos/productos3_15338.jpg"
"1778255771-185","https://www.infinit.com.uy/catalogo/gamer/infinit/","316","Garantía: 2 AÑOS / NUEVO","CF9010051W","Silla Gamer CORSAIR TC100 Fabric Relaxed Soporta Hatsa 120Kg Regulable Renclinable 160 Grados Almohadones Negro","-5%","NEGRO","5","CORSAIR","331",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_27243.jpg"
"1778255771-186","https://www.infinit.com.uy/catalogo/gamer/infinit/","316","Garantía: 2 AÑOS / NUEVO","CF9010052W","Silla Gamer CORSAIR TC100 Fabric Relaxed Soporta Hatsa 120Kg Regulable Renclinable 160 Grados Almohadones Negro y Gris","-3%","GRIS","3","CORSAIR","325",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_27398.jpg"
