web_scraper_order,web_scraper_start_url,sku,position,description,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778257444-122","https://www.infinit.com.uy/catalogo/hardware/infinit/","DISEXT0195T","125","Garantía: 1 AÑO / RECERTIFICADO","Disco Duro 5Tb WESTERN DIGITAL P10 Game Externo Usb 3.2 Tamaño 2.5 Portable","","","","WESTERN DIGITAL","Cód.",",00","2.5""","","Comprar","0","USD","","","En stock","En stock","Medida","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40268.jpg"
"1778257444-123","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN115","125","Refrigeración suprema y silenciosa","Water Cooler Liquida BE QUIET! Pure Loop 3 280mm","","","","BE QUIET!","Cód.",",05","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41248.jpg"
"1778257444-124","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN111","125","Máximo rendimiento e iluminación","Water Cooler Liquida BE QUIET! Light Loop 240mm Blanco","","","","BE QUIET!","Cód.",",10","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41242.jpg"
"1778257444-125","https://www.infinit.com.uy/catalogo/hardware/infinit/","WCCPE360","126","Garantía: 1 AÑO / NUEVO","Water Cooler Liquida Cpu COUGAR Poseidon Elite 360 Argb Socket Para Intel y AM5","-5%","NEGRO","5","COUGAR","Cód.",",00","","","Comprar","132","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_31540.jpg"
"1778257444-126","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-COO111","126","Compatible con Intel y AMD.","Cooler DEEPCOOL Assassin IV Para Intel y AMD","","","","DEEPCOOL","Cód.",",90","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37702.jpg"
"1778257444-127","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXNED02","128","Garantía: 3 AÑOS / NUEVO","Solido Ssd NETAC 480Gb SA500 2.5 Sata3 6.0Gbps Para Notebooks y Pcs","","","","NETAC","Cód.",",00","2,5""","","Comprar","41","USD","","","En stock","En stock","Medida","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_25150.jpg"
"1778257444-128","https://www.infinit.com.uy/catalogo/hardware/infinit/","UAD35D48G32W","129","Garantía: 1 AÑO / NUEVO","Memoria RAM ADATA Gammix D35 8Gb Ddr4 3200Mhz Xpg Cl16 Blanco","-1%","BLANCO","1","ADATA","Cód.",",00","","","Comprar","130","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_29951.jpg"
"1778257444-129","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB990GBT21","131","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B840M-H Am5 Amd Ryzen Ddr5","","","","GIGABYTE","Cód.",",00","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41343.jpg"
"1778257444-130","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN116","133","Refrigeración suprema y silenciosa","Water Cooler Liquida BE QUIET! Pure Loop 3 360mm","","","","BE QUIET!","Cód.",",40","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41252.jpg"
"1778257444-131","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXCF40D","136","Garantía: 1 AÑO / NUEVO","Gabinete Gamer CORSAIR FRAME 4000D ARGB 3 Fanes 120mm USB-C Vidrio Templado CC-9011297-WW","-1%","BLANCO","1","CORSAIR","Cód.",",00","","","Comprar","137","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_37082.jpg"
"1778257444-132","https://www.infinit.com.uy/catalogo/hardware/infinit/","CAR54500","137","Garantía: 3 AÑOS / NUEVO","Procesador Cpu AMD Ryzen 5 4500 Six Core 3.6 Hasta 4.1Ghz Socket Am4","","","","AMD","Cód.",",00","","","Comprar","131","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_22553.jpg"
"1778257444-133","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXCFR4RS","137","Garantía: 1 AÑO / NUEVO","Gabinete Gamer CORSAIR FRAME 4000D ARGB 3 Fanes 120mm USB-C Vidrio Templado CC-9011296-WW","","NEGRO","","CORSAIR","Cód.",",00","","","Comprar","137","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37119.jpg"
"1778257444-134","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTT017","137","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE Level 20 GT ARGB USB-C + 3 Fanes 200mm ARGB Laterales De Vidrio CA-1K9-00F1WN-02","-11%","NEGRO","11","THERMALTAKE","Cód.",",00","","","Comprar","154","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_37421.jpg"
"1778257444-135","https://www.infinit.com.uy/catalogo/hardware/infinit/","P300P512GM28","143","Garantía: 3 AÑOS / NUEVO","Solido Ssd Nvme M.2 PATRIOT P300 512Gb 2280 PCIe Gen 3.0 Para Notebooks y Pc","-1%","","1","PATRIOT","Cód.",",00","","","Comprar","145","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_24489.jpg"
"1778257444-136","https://www.infinit.com.uy/catalogo/hardware/infinit/","GCDUOPRORGBW","146","Garantía: 1 AÑO / NUEVO","Gabinete COUGAR DUOFACE PRO Rgb 4 Fanes 120mm Argb Lateral Vidrio Templado Incluye los 2 Frentes","-1%","BLANCO","1","COUGAR","Cód.",",00","","","Comprar","147","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_31390.jpg"
"1778257444-137","https://www.infinit.com.uy/catalogo/hardware/infinit/","SAD58G48002","146","Garantía: 1 AÑO / NUEVO","Memoria RAM ADATA 8Gb Ddr5 4800Mhz CL40 Udimm","-2%","NEGRO","2","ADATA","Cód.",",00","","","Comprar","149","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_34491.jpg"
"1778257444-138","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN112","146","Máximo rendimiento e iluminación","Water Cooler Liquida BE QUIET! Light Loop 360mm","","","","BE QUIET!","Cód.",",40","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41260.jpg"
"1778257444-139","https://www.infinit.com.uy/catalogo/hardware/infinit/","DIS029","147","Garantía: 6 MESES / RECERTIFICADO","Disco Duro SEAGATE 8Tb Externo 3.0 Gaming Hub Drive","","BLANCO","","SEAGATE","Cód.",",00","3.5""","Consultar","","0","USD","","","Agotado","Agotado","Medida","Color","",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40921.jpg"
"1778257444-140","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT183","147","Socket 1851 Intel Ultra. DDR5. RGB","Mother Asrock B860M-H2 LGA 1851","","","","ASROCK","Cód.",",90","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40652.jpg"
"1778257444-141","https://www.infinit.com.uy/catalogo/hardware/infinit/","TAR206","148","Garantía: 1 AÑO / NUEVO","Tarjeta De Video BIOSTAR RX560 4Gb GDdr5 Amd Radeon Hdmi Dp Dvi","-6%","NEGRO","6","BIOSTAR","Cód.",",00","","","Comprar","157","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_15634.jpg"
"1778257444-142","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-GAB160","149","Garantía Funcional","Gabinete DEEPCOOL CH560 Digital + 4 Fanes Argb 140mm Blanco","","","","DEEPCOOL","Cód.",",45","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37466.jpg"
"1778257444-143","https://www.infinit.com.uy/catalogo/hardware/infinit/","CC9011256W","150","Garantía: 1 AÑO / NUEVO","Gabinete Gamer CORSAIR 3000D ARGB Airflow 3 Fanes AR120 Argb CC-9011256-WW Blanco","","BLANCO","","CORSAIR","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_35229.jpg"
"1778257444-144","https://www.infinit.com.uy/catalogo/hardware/infinit/","15517","150","Garantía: 1 AÑO / NUEVO","Memoria RAM Sodimm 8Gb Ddr5 5600Mhz Varias Marcas","-16%","","16","","Cód.",",00","","","Comprar","178","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_37046.jpg"
"1778257444-145","https://www.infinit.com.uy/catalogo/hardware/infinit/","DWDP2TB","151","Garantía: 2 AÑOS / NUEVO","Disco Duro 2Tb WESTERN DIGITAL Purpura Sata3 3.5"" 6.0Gbps Para Dvr y Sistemas de Seguridad","","PURPURA","","WD","Cód.",",00","3.5""","","Comprar","143","USD","","","En stock","En stock","Medida","Color","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_8642.jpg"
"1778257444-146","https://www.infinit.com.uy/catalogo/hardware/infinit/","DSALEG512G","151","Garantía: 3 AÑOS / NUEVO","Ssd Solido Nvme 512Gb ADATA Legend 710 Pcie Gen3 x4 2280","-15%","","15","ADATA","Cód.",",00","","","Comprar","177","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_36000.jpg"
"1778257444-147","https://www.infinit.com.uy/catalogo/hardware/infinit/","901CDISPLAY","151","Garantía: FUNCIONAL / NUEVO","Gabinete Gamer SHOT GAMING SUP-901C PRO RGB Display Con Lateral De Vidrio Templado Negro","-1%","NEGRO","1","SHOT GAMING","Cód.",",00","","","Comprar","153","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_40134.jpg"
"1778257444-148","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT172","153","Socket AMD Ryzen AM5. DDR5.","Motherboard ASROCK B650M-H/M.2+ AM5","","","","ASROCK","Cód.",",10","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40727.jpg"
"1778257444-149","https://www.infinit.com.uy/catalogo/hardware/infinit/","FAX850WKP","156","Garantía: 1 AÑO / NUEVO","Fuente De Poder ATX 3.1 ADATA XPG Kyber 850w 80 Plus Gold Full Modular","","NEGRO","","ADATA","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_39602.jpg"
"1778257444-150","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN113","157","Máximo rendimiento e iluminación","Water Cooler Liquida BE QUIET! Light Loop 360mm Blanco","","","","BE QUIET!","Cód.",",10","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41265.jpg"
"1778257444-151","https://www.infinit.com.uy/catalogo/hardware/infinit/","GCFV150RGBBK","159","Garantía: 1 AÑO / NUEVO","Gabinete Gamer COUGAR FV150 Rgb + 4 Fan ARGB 120mm Mid Tower Usb 3.0","-5%","NEGRO","5","COUGAR","Cód.",",00","","","Comprar","168","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35024.jpg"
"1778257444-152","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT167","159","Socket AMD Ryzen AM4. DDR5.","Motherboard ASROCK A620M-C R2.0 AM5 (BULK)","","","","ASROCK","Cód.",",30","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40640.jpg"
"1778257444-153","https://www.infinit.com.uy/catalogo/hardware/infinit/","DWDESE1TB2","160","Garantía: 1 AÑO / NUEVO","Disco Duro 1Tb WESTERN DIGITAL Expansion Externo Usb 3.0 Tamaño 2.5 Portable","","NEGRO","","WD","Cód.",",00","","","Comprar","151","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_20481.jpg"
"1778257444-154","https://www.infinit.com.uy/catalogo/hardware/infinit/","GB0501","160","","Motherboard GIGABYTE B860M-K S1851 Intel Ddr5 ARGB HDMI Usb 3.0","-5%","","5","GIGABYTE","Cód.",",00","","","Comprar","168","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_39526.jpg"
"1778257444-155","https://www.infinit.com.uy/catalogo/hardware/infinit/","SE0049","162","Garantía: 2 AÑOS / NUEVO","Disco Duro 2Tb SEAGATE Expansion Externo 2.5 Usb 3.0 Portatil","","NEGRO","","SEAGATE","Cód.",",00","2,5""","","Comprar","111","USD","","","En stock","En stock","Medida","Color","Cantidad",",00","Antes","USD","Ahora","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_15714.jpg"
"1778257444-156","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB989GBT47","162","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B760M D3HP 4X Hdmi Vga Socket Ddr5 S1700","-7%","","7","GIGABYTE","Cód.",",00","","","Comprar","174","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_39160.jpg"
"1778257444-157","https://www.infinit.com.uy/catalogo/hardware/infinit/","CAR55500","163","Garantía: 3 AÑOS / NUEVO","Procesador CPU AMD Ryzen 5 5500 Six Core 3.6Ghz Hasta 4.2Ghz Socket Am4","-8%","","8","AMD","Cód.",",00","","","Comprar","178","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_22778.jpg"
"1778257444-158","https://www.infinit.com.uy/catalogo/hardware/infinit/","230011","163","Garantía: 1 AÑO / NUEVO","Gabinete Gamer COOLER MASTER Masterbox 520 Mesh + 3 Fanes ARGB Atx Con Lateral De Vidrio Templado Blanco","","BLANCO","","COOLER MASTER","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_38666.jpg"
"1778257444-159","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXNEM101","164","Garantía: 3 AÑOS / NUEVO","Memoria RAM NETAC 16Gb ddr4 3200Mhz Sodimm","-9%","NEGRO","9","NETAC","Cód.",",00","","Consultar","","180","USD","","","Agotado","Agotado","Color","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_30395.jpg"
"1778257444-160","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB989GBT34","164","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B650M D3HP Am5 Amd Ryzen Ddr5 ARGB HDMI DP Usb 3.0","-6%","","6","GIGABYTE","Cód.",",00","","","Comprar","175","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38788.jpg"
"1778257444-161","https://www.infinit.com.uy/catalogo/hardware/infinit/","SE0089","166","Garantía: 3 AÑOS / NUEVO","Disco Duro 2Tb SEAGATE SkyHawk ST2000VX017 3.5 Sata3 6.0Gbps Para Dvr y Sistemas De Seguridad","-1%","","1","SEAGATE","Cód.",",00","3.5""","","Comprar","168","USD","","","En stock","En stock","Medida","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_20701.jpg"
"1778257444-162","https://www.infinit.com.uy/catalogo/hardware/infinit/","AM3006","166","Garantía: 3 AÑOS / NUEVO","Solido Ssd 1Tb HIKSEMI Hs-Essd-Elite9 Externo Usb 3.2 Tipo C Tamaño 2.5","","","","HIKSEMI","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40882.jpg"
"1778257444-163","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT182","166","Socket 1700 Intel 12a, 13a, 14a gen. DDR5. RGB","Mother Asrock B760M Pro RS LGA 1700 Wifi 6E","","","","ASROCK","Cód.",",60","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40691.jpg"
"1778257444-164","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT181","169","Socket 1700 Intel 12a, 13a, 14a gen. DDR5. RGB","Mother Asrock B760M Pro RS LGA 1700","","","","ASROCK","Cód.",",60","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40688.jpg"
"1778257444-165","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN121","170","Tecnología y refrigeracíon superiores","Water Cooler Liquida BE QUIET! Silent Loop 3 420mm","","","","BE QUIET!","Cód.",",00","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41276.jpg"
"1778257444-166","https://www.infinit.com.uy/catalogo/hardware/infinit/","MAB760MPROR5","171","Garantía: 3 AÑOS / NUEVO","Motherboard ASROCK B760M Pro RS Intel Ddr5 Hdmi 2.1 DP 1.4 Usb 3.2 S1700","-21%","","21","ASROCK","Cód.",",00","","","Comprar","217","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_35938.jpg"
"1778257444-167","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT196","174","Socket AMD Ryzen AM5 DDR5","Motherboard ASROCK B850M-X R2.0 AM5 WiFi","","","","ASROCK","Cód.",",10","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40821.jpg"
"1778257444-168","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB989GBT28","176","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE A620M Ds3H G10 Am5 Amd Ryzen Ddr5","","","","GIGABYTE","Cód.",",00","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41346.jpg"
"1778257444-169","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTR1G","178","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE TR100 Mini Tower Negro USB-C 3.2 CA-11A-00S1NN-00","","NEGRO","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40149.jpg"
"1778257444-170","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXGT1W","178","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE TR100 Mini Tower Blanco USB-C 3.2 CA-11A-00S1NN-00","","BLANCO","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40155.jpg"
"1778257444-171","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXT1BL","178","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE TR100 Mini Tower Celeste USB-C 3.2 CA-11A-00SFNN-00","","CELESTE","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_40161.jpg"
"1778257444-172","https://www.infinit.com.uy/catalogo/hardware/infinit/","IT0073","181","Garantía: 3 AÑOS / NUEVO","Procesador Cpu Intel Core i3 14100f Quad Core 3.5 hasta 4.7Ghz S1700","-10%","","10","INTEL","Cód.",",00","","","Comprar","200","USD","","Destacado","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_30529.jpg"
"1778257444-173","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFX00S1WN","182","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE THE TOWER 250 Mini USB-C 3.2 + 2 Fanes 120mm Vidrio Templado CA-1Z9-00S1WN-00","","NEGRO","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_36836.jpg"
"1778257444-174","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFX00SFWN","182","Garantía: 1 AÑO / NUEVO","Gabinete THERMALTAKE THE TOWER 250 Mini Blue USB-C 3.2 + 2 Fanes 120mm Vidrio Templado CA-1Z9-00SFWN-00","","AZUL CLARO","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_36848.jpg"
"1778257444-175","https://www.infinit.com.uy/catalogo/hardware/infinit/","MAB760MPRW","187","Garantía: 3 AÑOS / NUEVO","Motherboard ASROCK B760M Pro Rs Wifi 6E S1700 Intel Core Ddr5 Hdmi USB 3.2","-2%","NEGRO","2","ASROCK","Cód.",",00","","","Comprar","190","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_34603.jpg"
"1778257444-176","https://www.infinit.com.uy/catalogo/hardware/infinit/","GB0459","187","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B850 D3HP AM5 Usb-C HDMI 2x DisplayPort","-13%","","13","GIGABYTE","Cód.",",00","","","Comprar","216","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_39510.jpg"
"1778257444-177","https://www.infinit.com.uy/catalogo/hardware/infinit/","KI9471","189","Garantía: DE POR VIDA / NUEVO","Memoria Ram KINGSTON Fury Beast 8Gb CL36 Ddr5 5600Mhz Udimm Negro","-16%","NEGRO","16","KINGSTON","Cód.",",00","","","Comprar","224","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_40244.jpg"
"1778257444-178","https://www.infinit.com.uy/catalogo/hardware/infinit/","GB0134","192","Garantía: 3 AÑOS / NUEVO","Fuente De Poder GIGABYTE GP-UD1000GM PG5 1000w Cert 80 Plus Gold Full Modular","-1%","","1","GIGABYTE","Cód.",",00","","","Comprar","194","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_24495.jpg"
"1778257444-179","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB989GBT74","195","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B840M DS3H Am5 Amd Ryzen Micro ATX Ddr5 ARGB HDMI Usb 3.0","","","","GIGABYTE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_38792.jpg"
"1778257444-180","https://www.infinit.com.uy/catalogo/hardware/infinit/","MB989GBT75","196","Garantía: 3 AÑOS / NUEVO","Motherboard GIGABYTE B840M Eagle Am5 Amd Ryzen Micro ATX HDMI Wifi6 Usb 3.0","","","","GIGABYTE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_38804.jpg"
"1778257444-181","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXSCGX8","198","Garantía: 7 AÑOS / NUEVO","Fuente De Poder ATX 3.1 SEASONIC RCore 850w 80 Plus Gold Gx-850 Full Modular PCI-e 5.1 SRP-CGX851","-24%","","24","SEASONIC","Cód.",",00","","","Comprar","262","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_39635.jpg"
"1778257444-182","https://www.infinit.com.uy/catalogo/hardware/infinit/","810056145583","199","Garantía: 6 MESES / OPEN BOX","Water Cooler Liquida Cpu RAZER 360 HANBO CHROMA RGB Socket Para Intel y Amd","-33%","NEGRO","33","RAZER","Cód.",",00","","","Comprar","299","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_37262.jpg"
"1778257444-183","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT188","199","Socket 1851 Intel Ultra. DDR5. RGB","Motherboard BIOSTAR B860MT-E PRO LGA 1851","","","","BIOSTAR","Cód.",",60","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41443.jpg"
"1778257444-184","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT208","200","Socket AMD Ryzen AM5","Motherboard ASUS TUF Gaming A620AM-Plus WiFi 6 AM5","","","","ASUS","Cód.",",90","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41419.png"
