web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image
"1778257012-62","https://www.infinit.com.uy/catalogo/perifericos/infinit/","109","Garantía: 6 MESES / NUEVO","TEC168","Teclado UNITEK D1092A con hub 9 en 1 PD 100W Usb-C HDMI 2.0","","GRIS","","UNITEK","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38842.jpg"
"1778257012-63","https://www.infinit.com.uy/catalogo/perifericos/infinit/","111","Garantía: 2 AÑOS / NUEVO","195798","Camara Web LOGITECH C920S PRO HD Full HD Stream H.264 Conexion Usb","-3%","","3","LOGITECH","114","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_12009.jpg"
"1778257012-64","https://www.infinit.com.uy/catalogo/perifericos/infinit/","112","Garantía: 1 AÑO / NUEVO","PAR126","Parlantes EDIFIER R1100 2.0 42w Rms Rca Auxiliar Entrada de Linea 3.5mm","","NEGRO","","EDIFIER","112","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_11287.jpg"
"1778257012-65","https://www.infinit.com.uy/catalogo/perifericos/infinit/","120","Garantía: 1 AÑO / NUEVO","195985","Teclado LOGITECH Mx Keys Mini Retroiluminado Inalambrico Bluetooth","","","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","NEGRO","","https://www.infinit.com.uy/imgs/productos/productos3_20976.jpg"
"1778257012-66","https://www.infinit.com.uy/catalogo/perifericos/infinit/","120","Garantía: 1 AÑO / NUEVO","195986","Teclado LOGITECH Mx Keys Mini Retroiluminado Inalambrico Bluetooth Gris","","GRIS","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38310.jpg"
"1778257012-67","https://www.infinit.com.uy/catalogo/perifericos/infinit/","133","Garantía: 2 AÑOS / NUEVO","195749","Camara Web Logitech C922 Pro Stream Full Hd 1080p H.264 Conexion Usb","","NEGRO","","LOGITECH","133","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_9405.jpg"
"1778257012-68","https://www.infinit.com.uy/catalogo/perifericos/infinit/","134","Garantía: 2 Años de Garantía / Nuevo","195714","Camara Web LOGITECH C925E Full HD 1080p 3mpx Usb Enfoque Automatico","","NEGRO","","LOGITECH","133","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_12256.jpg"
"1778257012-69","https://www.infinit.com.uy/catalogo/perifericos/infinit/","146","Garantía: 1 AÑO / NUEVO","P192245","Teclado LOGITECH Mx Keys Inalambrico Iluminacion Automatica Bluetooth","-1%","NEGRO","1","LOGITECH","147","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_20153.jpg"
"1778257012-70","https://www.infinit.com.uy/catalogo/perifericos/infinit/","154","Garantía: 1 AÑO / NUEVO","192332","Camara Web LOGITECH Brio 500 Ultra Wide 4mp 1080p Usb-c Videoconferencia","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_25775.jpg"
"1778257012-71","https://www.infinit.com.uy/catalogo/perifericos/infinit/","163","Garantía: 1 AÑO / NUEVO","PAR339","Parlante EDIFIER R1280DBS 2.0 42w Rms Bluetooth 5.0  Control Remoto Rca Optico Coaxial","-7%","NEGRO","7","EDIFIER","175","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_23059.jpg"
